   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   156.96182     -665.49475      3035.9141     -4553.429      -478.9693      -2687.6906    
     52000   192.60439     -1073.0709      2570.6046     -5961.4279      171.61056     -2685.129     
     53000   223.99234     -1489.6144      1930.4186     -6024.3625     -374.89938     -2682.0396    
     54000   268.31521      1324.4897      6152.8579     -2328.8185      149.42964     -2678.7267    
     55000   303.83405      776.19029      6835.9756     -4843.8882      336.48349     -2675.7557    
     56000   312.14999      480.85413      4908.7841     -3227.4534     -238.7683      -2673.7064    
     57000   342.59114      2260.8614      10062.066     -3502.843       223.36107     -2673.3993    
     58000   298.34367      1072.4769      5909.4314     -2407.1001     -284.90053     -2675.0711    
     59000   294.95393     -959.6994       2985.6204     -6063.3899      198.67129     -2676.7758    
     60000   278.39525     -3301.9239      1870.6184     -11730.6       -45.790438     -2677.1463    
     61000   283.6344      -3025.3735     -3052.0093     -6008.728      -15.383328     -2675.9798    
     62000   314.58576      839.99447      5428.5426     -3101.6645      193.10536     -2674.4906    
     63000   318.99447      2616.2038      6600.1372      1301.3573     -52.883077     -2674.1726    
     64000   296.43932      1910.214       8273.85       -2568.4076      25.199555     -2675.2251    
     65000   303.77432      2814.3709      8561.3492     -440.10356      321.86694     -2676.1834    
     66000   292.43719      717.59248      4303.7354     -2246.9113      95.953299     -2676.5773    
     67000   296.25278     -1734.86        4734.5682     -10161.19       222.04194     -2676.0773    
     68000   299.91728     -5787.6661     -7230.2133     -9896.5712     -236.21388     -2675.1174    
     69000   324.9373      -1056.1558      5512.8728     -9127.61        446.26983     -2674.2757    
     70000   296.50605      1884.5511      6843.6706     -1084.7865     -105.23079     -2674.6871    
     71000   281.25896      3303.4476      9948.5414      375.49992     -413.69862     -2675.8701    
     72000   297.4333       3409.756       11737.686     -1343.1062     -165.31173     -2676.2689    
     73000   305.1221       2890.4862      6580.6979      1864.6133      226.14748     -2675.7079    
     74000   299.08577     -415.3267       7194.4548     -8408.5646     -31.87027      -2674.2919    
     75000   334.31596     -3587.5098     -2968.2881     -8071.7729      277.53158     -2674.0491    
     76000   304.5217      -5626.2844     -2896.1668     -13868.412     -114.27417     -2674.652     
     77000   310.65302     -1757.3568      2280.4112     -7708.3238      155.84199     -2675.2267    
     78000   291.20165      2734.1968      6223.8932      1942.1015      36.595708     -2676.0035    
     79000   285.81333      3151.7564      11269.728     -1511.0557     -303.40325     -2676.5526    
     80000   285.32316      2809.6136      7760.1096      723.2993      -54.567928     -2676.2016    
     81000   300.52151      911.88141      6580.8312     -3685.7905     -159.39645     -2674.5317    
     82000   327.70197      226.68143      3429.7876     -2799.1401      49.39675      -2674.4846    
     83000   298.85207     -5199.8794     -2895.3326     -12495.788     -208.51801     -2675.5844    
     84000   278.90395     -4567.1614      161.88459     -13187.431     -675.93792     -2675.9893    
     85000   300.3164       361.5011       3028.4849     -2313.7213      369.73966     -2675.798     
     86000   303.35703      2533.4029      10068.342     -2247.4564     -220.67739     -2675.1864    
     87000   310.79461      2916.9577      9383.7911     -720.14536      87.227357     -2673.494     
     88000   312.45054      1814.2548      6789.9874     -1320.0758     -27.147229     -2673.7256    
     89000   297.33897     -0.19767215     2536.2576     -2196.6833     -340.16736     -2675.2245    
     90000   306.49706     -1420.3722      2937.4789     -7413.8938      215.29826     -2675.818     
     91000   272.91902     -4520.7897     -2478.9328     -10589.229     -494.20779     -2676.0566    
     92000   290.65161     -2232.6223      522.46309     -7176.6965     -43.633592     -2675.5615    
     93000   321.28575      155.30615      4465.524      -4140.954       141.3485      -2674.1899    
     94000   305.26957      1975.3439      6666.59       -568.63697     -171.92118     -2674.0505    
     95000   309.51928      2691.732       10461.563     -2485.5237      99.15666      -2675.1559    
     96000   293.14976      451.90195      4893.8587     -3276.2112     -261.94172     -2675.5532    
     97000   299.14405      1545.758       6197.2804     -1699.6415      139.635       -2675.4482    
     98000   298.34442     -769.61582      4771.6279     -6967.2733     -113.20205     -2675.5394    
     99000   291.73577     -2243.009       1526.559      -8057.1684     -198.41764     -2675.7731    
    100000   291.73307     -2624.8339     -276.13515     -7314.2021     -284.16451     -2676.1395    
    101000   302.93185     -62.845978      4818.4786     -4965.8382     -41.178265     -2676.0769    
    102000   298.05786      101.03175      2355.0624     -1877.5996     -174.36748     -2675.4668    
    103000   310.40873     -134.14819      5055.9945     -5406.3853     -52.053768     -2674.4823    
    104000   319.29671      729.85574      6596.8636     -4310.0232     -97.273174     -2674.0877    
    105000   297.36613      2557.2339      6573.5522      1071.4333      26.716305     -2675.5383    
    106000   289.38089      243.39139      6053.9581     -5301.7314     -22.052551     -2676.4709    
    107000   281.153       -344.22842      3616.4821     -4515.6932     -133.47418     -2675.9926    
    108000   312.8247      -1417.7988      3766.2124     -8137.0473      117.43868     -2675.0231    
    109000   331.0923      -1936.9174     -20.733077     -5823.5586      33.539585     -2674.5925    
    110000   299.76916     -587.43689      5543.2316     -7392.9848      87.442604     -2675.4294    
    111000   288.01558     -192.52133      6037.6968     -6644.5064      29.245649     -2677.0756    
    112000   288.7975       2467.102       6269.6326      1136.7723     -5.0988377     -2676.5411    
    113000   298.1456       1761.7379      7273.6187     -1871.8289     -116.57623     -2675.496     
    114000   318.52608      1412.5065      3524.2716      665.54341      47.704523     -2674.9751    
    115000   300.11455     -963.07562      4980.9506     -7994.7404      124.56295     -2675.1684    
    116000   295.77336     -2074.5764     -437.25832     -5883.0966      96.62558      -2676.3026    
    117000   279.2669      -1914.7548      577.79902     -6427.0651      105.00167     -2677.3477    
    118000   280.81405     -1751.5914      3725.1152     -8991.0265      11.137168     -2676.7169    
    119000   312.45055      1311.493       4117.9586     -464.43742      280.95793     -2675.7336    
    120000   294.58315      2889.0677      10594.721     -1841.7381     -85.779454     -2675.3092    
    121000   300.96726      2959.0113      5876.4213      3064.2362     -63.623598     -2675.1567    
    122000   296.08531      1314.8079      8494.816      -4440.7025     -109.68976     -2675.3854    
    123000   298.95371     -1057.9289      3188.2305     -6418.9479      56.930747     -2676.3159    
    124000   280.62929     -2965.5512     -2895.5432     -6083.5618      82.451517     -2676.8968    
    125000   285.06128     -2262.8874      2675.1147     -9539.0965      75.319463     -2676.1154    
    126000   320.50322     -1792.921      -1208.6909     -4182.9511      12.879043     -2674.8674    
    127000   309.23554      1878.872       8056.7093     -2556.7592      136.66581     -2674.8308    
    128000   306.75464      3139.0679      7097.6435      2051.7456      267.81468     -2675.424     
    129000   306.26581      2155.2894      5074.4139      1401.9106     -10.456396     -2676.1399    
    130000   292.17051      782.07454      9195.5926     -6806.885      -42.484033     -2676.7022    
    131000   292.76813     -1583.4224      593.2899      -5558.6563      215.09913     -2677.1142    
    132000   302.94905     -1504.5461      2484.1767     -7207.3715      209.55647     -2676.1534    
    133000   301.46018     -2309.9146      310.29017     -7412.8153      172.78122     -2675.0498    
    134000   313.83828     -204.06613      3419.4697     -4084.4812      52.813126     -2674.644     
    135000   297.05644      2360.8141      10509.924     -3619.0862      191.6047      -2675.1953    
    136000   285.22276      2137.9712      5429.8179      1168.8334     -184.73772     -2676.6727    
    137000   297.21421      1293.5186      6227.4772     -2462.248       115.32669     -2676.6775    
    138000   288.95236     -302.02617      4322.7605     -4840.1835     -388.6555      -2675.9959    
    139000   301.55982     -1020.1203      1458.9377     -4433.3674     -85.931101     -2675.4212    
    140000   308.43086     -1533.3743      2741.8422     -7481.0624      139.09718     -2675.2262    
    141000   292.24771     -1686.4876      1088.0113     -6032.3774     -115.09662     -2675.4686    
    142000   285.98767     -578.76443      4802.0878     -6384.7625     -153.61864     -2676.8942    
    143000   275.64329      1405.7033      6982.4498     -2837.018       71.678015     -2677.327     
    144000   295.18949      1635.2088      5805.9715     -715.76453     -184.58054     -2676.1634    
    145000   304.31043      718.71503      7085.161      -4917.6382     -11.377723     -2675.3375    
    146000   313.64541     -388.87485      5071.5279     -6090.6538     -147.4986      -2675.0731    
    147000   301.26749      598.28831      5812.594      -4016.4792     -1.2499219     -2675.1163    
    148000   296.73396     -1214.4683      1557.4373     -5348.4412      147.59884     -2676.334     
    149000   270.84176     -1904.5109      1149.3391     -6766.4766     -96.395219     -2677.1004    
    150000   294.2081      -731.95702      3705.2276     -6011.9403      110.84159     -2676.3098    
    151000   300.47422      1051.2083      3347.389      -269.13575      75.371745     -2675.5813    
    152000   287.34604     -370.76001      4379.7678     -5203.1592     -288.88864     -2675.4822    
    153000   314.9912       225.46774      1419.4616     -832.44794      89.389589     -2675.3781    
    154000   294.15287      765.73111      6408.2023     -3642.1114     -468.8976      -2675.2123    
    155000   293.97723      223.49752      4192.0378     -3438.4384     -83.106757     -2675.1771    
    156000   295.62322     -1162.5801      1514.7405     -4978.843      -23.637945     -2675.6851    
    157000   289.74193     -1531.625       4205.452      -8856.9832      56.656299     -2676.3104    
    158000   300.87182     -266.90098      3248.7678     -3976.878      -72.592689     -2676.3207    
    159000   299.4268       1347.2674      8434.2207     -4521.4319      129.01351     -2675.0527    
    160000   307.23437     -33.88119       2275.0959     -2134.1433     -242.59615     -2674.3391    
    161000   309.33465     -264.93037      5901.0151     -6623.6079     -72.198251     -2674.8001    
    162000   304.21126      474.10631      6393.2613     -4761.5664     -209.37605     -2675.828     
    163000   292.41069      1201.8232      4465.998      -817.67192     -42.856463     -2676.3059    
    164000   297.73601     -1465.1656      1581.6496     -5777.3361     -199.81045     -2676.1543    
    165000   287.71867     -2635.2053     -1930.0764     -5629.1397     -346.39983     -2675.5447    
    166000   297.84856     -567.1194       4929.8808     -6680.9173      49.678327     -2674.8025    
    167000   301.25375      523.65002      3671.2536     -2046.1952     -54.108349     -2674.8786    
    168000   285.79625     -1394.3742      2049.4869     -5934.7313     -297.87818     -2676.4682    
    169000   292.48634      1147.2776      5852.2305     -2310.4166     -99.981241     -2676.6581    
    170000   282.65532      2064.2435      7996.2618     -1789.0749     -14.456279     -2675.9353    
    171000   325.94765      1448.4572      7444.7842     -3315.8686      216.45609     -2675.2876    
    172000   288.8491      -1262.9323      500.27273     -4058.937      -230.13263     -2675.1952    
    173000   312.93162     -813.98648      4500.5566     -7154.4538      211.93773     -2675.2958    
    174000   302.83399      253.55932      4949.9571     -4590.3716      401.09247     -2675.5373    
    175000   291.45819     -1341.3359      1968.4801     -5880.865      -111.62285     -2675.913     
    176000   288.09048      747.73452      3773.4564     -1706.3277      176.07481     -2676.5645    
    177000   280.08793      333.08166      3853.1685     -2515.3677     -338.55578     -2677.1392    
    178000   296.07705      2044.5585      9165.5822     -3031.757      -0.14965667    -2676.1753    
    179000   299.09316      735.26893      1909.9028      341.75362     -45.849623     -2675.1228    
    180000   297.81704     -2008.1222      1262.6327     -7033.1462     -253.85321     -2674.9644    
