   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50125   300            6488.8764      19032.308      5706.0339     -5271.7129     -2694.4744    
     51000   156.13291      899.30377      12919.759     -1856.1436     -8365.704      -2693.1235    
     52000   199.56571     -3453.6497      10900.23      -13119.566     -8141.6137     -2690.5266    
     53000   204.71366     -6026.8713      4307.2389     -12884.917     -9502.9354     -2687.4246    
     54000   276.47591     -138.37841      14637.933     -7272.1644     -7780.9036     -2684.1323    
     55000   307.27513     -116.89198      10088.775     -1992.1112     -8447.3396     -2681.2409    
     56000   328.50019      1630.3661      19744.452     -6279.5876     -8573.7663     -2679.3048    
     57000   316.98337      6079.347       23832.807      2635.6506     -8230.4161     -2679.096     
     58000   290.17571      6524.1008      21874.299      6544.4106     -8846.4072     -2680.6212    
     59000   294.69578      4250.6599      21806.793     -764.93897     -8289.8741     -2682.2343    
     60000   292.24541     -4115.0024      4119.9473     -8241.2725     -8223.6822     -2682.7348    
     61000   294.8756      -11711.151      1724.0166     -28420.037     -8437.4325     -2681.8129    
     62000   295.98863     -8491.7792      415.76988     -17412.47      -8478.6379     -2680.3114    
     63000   307.33236     -717.48042      8186.2843     -1525.1379     -8813.5877     -2679.7005    
     64000   314.81728      7532.0105      23623.023      7067.526      -8094.5171     -2680.5254    
     65000   306.94631      6732.0958      23269.576      5133.8231     -8207.1114     -2681.7385    
     66000   281.95456      8348.7911      21009.447      12177.513     -8140.5872     -2682.0689    
     67000   289.26333      5118.4764      17215.969      6497.7356     -8358.2749     -2681.4438    
     68000   314.61799     -3174.6424      5006.455      -6516.2682     -8014.1139     -2680.6403    
     69000   312.25986     -10158.177     -9473.6386     -12631.629     -8369.263      -2680.3158    
     70000   295.73155     -9440.7385     -3583.3643     -15940.097     -8798.7542     -2680.7845    
     71000   301.06871      210.01743      7049.8796      1979.3345     -8399.1619     -2681.7223    
     72000   283.49718      5779.1371      20466.227      5507.1925     -8636.008      -2682.3217    
     73000   292.65883      6995.2357      20531.014      8550.688      -8095.9946     -2681.8198    
     74000   295.45547      1649.7891      17373.112     -3223.744      -9200.0004     -2680.119     
     75000   324.41335     -2154.0307      7724.2338     -5545.0682     -8641.2577     -2680.082     
     76000   294.97399     -381.98241      6713.962       402.36414     -8262.2734     -2680.9063    
     77000   292.37364     -2648.95        13798.046     -13005.838     -8739.0578     -2681.805     
     78000   291.98494     -747.75125      3942.6578      2295.7996     -8481.7111     -2681.8013    
     79000   295.21967      2821.2557      17771.687     -920.5385      -8387.381      -2681.4028    
     80000   287.87482      5391.0048      10891.963      13290.907     -8009.8554     -2681.235     
     81000   311.38647      8.4971528      14889.191     -6571.8496     -8291.8501     -2681.3287    
     82000   289.1412      -8671.8242     -7534.8067     -9430.5121     -9050.1537     -2681.573     
     83000   299.8878      -7004.4299     -699.33832     -11709.157     -8604.7948     -2681.7488    
     84000   298.28466      234.96985      6999.404       1776.3786     -8070.8731     -2681.3117    
     85000   314.80558      5749.6096      19788.12       5414.5726     -7953.8644     -2680.4785    
     86000   308.19732      6677.8982      20327.141      8259.6243     -8553.0702     -2680.1981    
     87000   284.52374      3084.0785      15819.549      2417.7236     -8985.0373     -2681.0497    
     88000   292.69216      894.40807      12175.358     -1232.7358     -8259.3977     -2682.2416    
     89000   294.91326     -2250.4414      8989.9541     -7771.7663     -7969.5118     -2682.174     
     90000   296.74779     -8183.8093      2043.3888     -18630.88      -7963.9367     -2681.238     
     91000   296.79422     -8570.7923     -1408.1039     -15816.299     -8487.9745     -2680.2421    
     92000   319.1756       1543.8907      13549.483     -757.64355     -8160.167      -2680.3371    
     93000   293.84184      10455.921      30872.186      8709.5468     -8213.97       -2680.978     
     94000   300.73564      8611.3321      27637.382      6314.5323     -8117.9179     -2681.7757    
     95000   288.27948      1710.9914      15222.676     -1846.8316     -8242.8699     -2681.8825    
     96000   312.22044     -1976.5135      3054.9918     -308.15543     -8676.377      -2680.3112    
     97000   327.07573     -4454.193       6273.4544     -11411.808     -8224.2253     -2679.7284    
     98000   298.29396     -6463.0114     -4588.4744     -6554.2939     -8246.266      -2680.6205    
     99000   296.24394     -6311.961       5017.0703     -15030.452     -8922.501      -2681.4026    
    100000   288.82017      1222.271       9145.3273      2678.1801     -8156.6945     -2681.5377    
    101000   293.16308      6600.0771      24075.298      4066.5045     -8341.5716     -2681.259     
    102000   323.33312      7258.0483      20954.643      9682.8873     -8863.3855     -2679.6829    
    103000   323.59693      95.089089      14379.43      -5555.3164     -8538.8468     -2679.0097    
    104000   321.3825      -5147.1123      2953.5118     -9672.2518     -8722.597      -2680.0695    
    105000   299.19455     -2033.6583      8219.7637     -5827.2367     -8493.5019     -2680.7397    
    106000   294.3302      -2246.2016      16517.734     -14489.971     -8766.3673     -2681.3955    
    107000   302.5842      -2399.6588      6315.8448     -5138.2391     -8376.5821     -2681.8148    
    108000   292.03941      673.7886       17339.807     -6543.8441     -8774.5973     -2681.4168    
    109000   318.40759      5581.8682      16684.022      8289.5066     -8227.9241     -2679.7916    
    110000   297.61101      3354.2287      22966.496     -3884.156      -9019.6539     -2679.9666    
    111000   301.80419     -1986.017       11822.509     -9450.3655     -8330.195      -2681.0629    
    112000   292.40283     -4417.4441      3855.4363     -8397.7314     -8710.0372     -2681.4398    
    113000   301.80143     -1624.8868      10481.118     -7467.9007     -7887.8781     -2681.311     
    114000   292.14216      3213.8957      12264.341      5644.5134     -8267.1673     -2681.019     
    115000   318.27724      3731.2468      21858.818     -2340.7753     -8324.3023     -2680.6806    
    116000   315.32301     -758.26879      6974.5578     -1283.2979     -7966.0662     -2680.1421    
    117000   296.31689     -2535.035       5887.5005     -4501.3638     -8991.2417     -2680.2967    
    118000   293.5169      -1060.9534      6961.1755     -2254.2548     -7889.7809     -2681.4396    
    119000   289.49618     -2026.3892      6024.1309     -3486.4249     -8616.8736     -2682.1806    
    120000   291.10464     -4358.473       4757.1273     -9091.9792     -8740.5671     -2681.8987    
    121000   297.01317      1413.4081      6545.3198      5879.1941     -8184.2894     -2680.5594    
    122000   309.49413      6710.1067      18287.127      10709.822     -8866.6284     -2680.3386    
    123000   323.10239      6304.4505      20072.638      7381.1072     -8540.394      -2680.8723    
    124000   309.9707       156.02647      9394.0138     -622.59805     -8303.3363     -2681.6338    
    125000   291.92127     -4422.6414     -5019.3445      392.69184     -8641.2715     -2681.8748    
    126000   300.15418     -2336.3242      9245.4823     -7970.4672     -8283.9878     -2680.7712    
    127000   334.8043      -3289.9871     -4502.8053      3073.8964     -8441.0524     -2679.7605    
    128000   291.64267     -2794.568       4116.8365     -3691.187      -8809.3535     -2680.4144    
    129000   288.76383     -86.686934      5174.4673      4112.84       -9547.3681     -2681.4522    
    130000   290.18098      8007.7084      17740.867      14865.341     -8583.0826     -2681.5447    
    131000   298.38543      5624.0218      17373.502      7744.3845     -8245.8207     -2681.4182    
    132000   291.89367     -1171.5425      3642.8732      1652.7588     -8810.2595     -2681.0881    
    133000   310.04058     -6864.6528      2138.0973     -13777.747     -8954.3086     -2680.2375    
    134000   332.0934      -452.76517      5279.4767      1425.648      -8063.4202     -2678.607     
    135000   306.13426      416.31979      13159.609     -3550.7897     -8359.8602     -2679.6332    
    136000   297.63356     -1575.8735      6659.7396     -2921.5577     -8465.8024     -2680.691     
    137000   308.71049     -1071.1159      12317.082     -7704.0247     -7826.4057     -2681.3446    
    138000   293.41045      3202.2678      15562.925      2434.6155     -8390.7372     -2681.6451    
    139000   279.0402       1907.5464      12539.782      2310.0627     -9127.2051     -2681.6971    
    140000   301.88043     -3356.7884      11399.36      -12899.039     -8570.6866     -2681.0223    
    141000   306.6849      -2500.2868      2502.5235     -1006.1466     -8997.2374     -2679.8819    
    142000   315.51753      778.28823      18334.315     -7198.5203     -8800.9304     -2679.9467    
    143000   295.52825      4255.0387      13420.867      8164.2224     -8819.9731     -2681.3645    
    144000   286.19299     -1023.9447      19423.746     -14348.315     -8147.2654     -2681.914     
    145000   286.36567     -3867.1041      4093.0168     -6689.2916     -9005.0374     -2681.4786    
    146000   313.63577     -2594.9601      6599.7869     -6312.756      -8071.9112     -2680.7293    
    147000   309.56004     -606.25089      9786.5948     -2684.5773     -8920.7702     -2680.2764    
    148000   316.05419     -314.55988      7528.9884     -189.96749     -8282.7006     -2680.9542    
    149000   289.2473      -109.72238      9264.2195     -1479.4075     -8113.9792     -2682.1884    
    150000   302.24891      3280.8875      12086.217      6253.1357     -8496.6898     -2682.0473    
    151000   312.62227      5536.4186      16075.299      8658.756      -8124.7995     -2680.871     
    152000   292.74112      923.90363      5426.5276      5858.3653     -8513.1821     -2680.4487    
    153000   307.38897     -3285.4323      4847.886      -6844.3088     -7859.8742     -2680.7504    
    154000   282.78037     -5379.3864     -6536.0658     -662.0918      -8940.0015     -2681.084     
    155000   302.08982     -263.06861      10524.113     -2477.9896     -8835.3294     -2681.2084    
    156000   299.47214      1905.2993      5533.6846      8369.5646     -8187.3512     -2681.3062    
    157000   305.03864     -102.42537      14229.582     -5406.6451     -9130.2131     -2681.2825    
    158000   317.68754      4229.47        8630.6099      11847.973     -7790.1729     -2680.7449    
    159000   319.11284      4724.8063      20081.57       2519.7509     -8426.9022     -2678.9418    
    160000   335.02435     -715.833        5690.8626      322.9501      -8161.3117     -2679.3944    
    161000   296.04771     -6681.5414      2462.5422     -13732.336     -8774.8303     -2680.571     
    162000   290.90524     -5500.3044      3432.2586     -10884.809     -9048.3623     -2681.0759    
    163000   304.02525      2781.2811      11745.132      4518.8403     -7920.1292     -2681.4336    
    164000   297.522        4148.9413      21492.75      -969.83482     -8076.0908     -2682.0576    
    165000   285.482        1799.0012      10858.887      2945.9416     -8407.8251     -2682.7836    
    166000   289.96846     -97.77496       17685.45      -9524.9468     -8453.8285     -2682.2529    
    167000   303.40493     -58.947113      2498.383       5962.9734     -8638.1978     -2680.848     
    168000   295.67546     -2387.427       14850.615     -13317.63      -8695.2654     -2680.6299    
    169000   300.3984      -4825.4117      4310.4412     -10290.221     -8496.4555     -2681.1269    
    170000   262.91123     -2133.512       9061.5183     -6537.2138     -8924.8407     -2682.163     
    171000   292.52556      3039.8385      18537.403     -1128.7432     -8289.1442     -2682.9175    
    172000   284.98373      4940.5436      16305.711      6816.1469     -8300.227      -2681.8872    
    173000   300.55175     -34.401952      19572.925     -10657.103     -9019.0279     -2680.4936    
    174000   308.13144     -5139.3525      3938.9783     -10884.894     -8472.1421     -2680.5217    
    175000   303.93118     -2741.8475      8743.4575     -8550.4746     -8418.5253     -2681.109     
    176000   295.84094     -609.00825      9666.7831     -2856.6897     -8637.1182     -2682.1254    
    177000   283.05234      1798.2208      11489.873      2421.6553     -8516.8664     -2682.616     
    178000   294.34524      2556.9011      20554.618     -4048.8335     -8835.0809     -2681.2172    
    179000   299.15366      2192.8783      9578.7574      6102.1721     -9102.2947     -2680.2034    
    180000   324.33317      3099.2357      13616.151      3501.0966     -7819.5405     -2680.4731    
    181000   290.85703     -974.7835       7731.4809     -2714.2442     -7941.5872     -2681.634     
    182000   301.98341     -5770.7476     -3205.8548     -5833.2041     -8273.184      -2682.0314    
    183000   284.20445     -3313.097       3115.246      -4148.8016     -8905.7355     -2681.4873    
    184000   297.61577      2516.7854      6093.6217      10641.304     -9184.5696     -2680.29      
    185000   307.69328      4474.2406      16863.049      5736.9717     -9177.2987     -2680.0151    
    186000   298.64788      840.37914      6696.1203      4337.3612     -8512.3441     -2682.3465    
    187000   305.73855     -351.48683      4704.2643      2262.44       -8021.1648     -2682.3562    
    188000   297.96467      664.74089      10822.308     -692.10517     -8135.9804     -2681.218     
    189000   296.29235     -4410.1156     -1727.1975     -2261.444      -9241.7054     -2680.507     
    190000   309.04782     -3712.0103      13605.453     -15668.108     -9073.3761     -2680.475     
    191000   305.74433     -540.61545      6768.4617      431.70267     -8822.0107     -2681.4426    
    192000   271.07867      5019.3505      24848.996     -1331.1642     -8459.7801     -2682.4558    
    193000   292.00144      5506.0754      19464.755      5013.0828     -7959.6114     -2682.2018    
    194000   309.38184     -968.88393      11848.538     -6756.9929     -7998.1972     -2680.854     
    195000   321.96858     -4087.4785      10206.33      -14234.254     -8234.5119     -2680.3926    
    196000   305.05213     -3910.8043      3482.1695     -6285.9642     -8928.6181     -2680.7727    
